2025-10-13 16:31:50, 4,42025-10-13 17:17:47, 1,1
2025-10-13 17:18:25, 1,1
2025-10-13 17:20:32, 1,1
2025-10-13 17:22:23, 1,1
2025-10-13 17:28:36, 1,1
2025-10-13 17:29:32, 1,1
2025-10-13 17:32:11, 1,1
2025-10-13 17:34:43, 1,1
2025-10-13 17:43:32, 1,1
2025-10-13 17:43:59, 2,2
2025-10-13 17:44:43, 1,1
2025-10-13 17:44:47, 2,2
2025-10-13 17:44:52, 3,3
2025-10-13 17:44:59, 4,4
2025-10-13 18:44:55, 1,1
2025-10-13 18:51:59, 1,1
2025-10-13 18:58:20, 1,1
2025-10-13 19:01:55, 1,1
2025-10-13 19:17:10, 1,1
2025-10-13 19:20:40, 1,1
2025-10-13 19:25:07, 1,1
2025-10-13 19:28:11, 3,3
2025-10-13 19:28:25, 1,1
2025-10-13 19:49:32, 1,1
2025-10-13 19:55:32, 1,1
2025-10-13 19:56:58, 6,6
2025-10-13 20:05:22, 1,1
2025-10-13 20:10:50, 1,1
2025-10-13 20:12:27, 1,1
2025-10-13 20:17:44, 5,5
2025-10-13 20:18:09, 8,8
2025-10-13 20:18:24, 7,7
2025-10-13 20:20:10, 5,5
2025-10-13 20:21:25, 1,1
2025-10-13 20:21:45, 1,1
